order_id,warehouse,shipping_mode,planned_delivery_days,processing_days,actual_delivery_days,shipping_cost,handling_cost,return_flag,return_reason,return_cost,backorder_flag,on_time_flag
ORD-00001,Newark DC,Express,3,3.6,3.8,33.71,6.92,0,,0.0,1,0
ORD-00002,Atlanta DC,Express,3,1.8,2.2,50.69,5.2,0,,0.0,0,1
ORD-00003,Newark DC,Standard,5,2.0,4.0,19.36,3.21,0,,0.0,0,1
ORD-00004,Dallas DC,Standard,6,1.4,4.5,22.37,3.0,0,,0.0,0,1
ORD-00005,Chicago DC,Standard,4,1.4,2.5,29.39,3.9,0,,0.0,0,1
ORD-00006,Dallas DC,Freight,8,1.5,8.2,55.58,4.73,0,,0.0,0,0
ORD-00007,Newark DC,Freight,7,1.2,6.0,31.36,3.07,0,,0.0,0,1
ORD-00008,Newark DC,Freight,7,1.6,6.2,43.09,4.02,0,,0.0,0,1
ORD-00009,Chicago DC,Standard,4,1.0,4.7,37.31,4.98,0,,0.0,0,0
ORD-00010,Dallas DC,Freight,8,2.7,8.3,49.89,3.84,0,,0.0,0,0
ORD-00011,Dallas DC,Standard,6,2.1,5.2,15.56,2.24,0,,0.0,0,1
ORD-00012,Dallas DC,Express,4,1.3,4.9,30.19,2.97,0,,0.0,0,0
ORD-00013,Reno DC,Standard,6,1.5,4.7,16.0,2.91,0,,0.0,0,1
ORD-00014,Chicago DC,Freight,6,1.6,6.7,20.04,2.53,0,,0.0,0,0
ORD-00015,Atlanta DC,Standard,5,1.1,3.7,33.48,4.52,0,,0.0,0,1
ORD-00016,Chicago DC,Standard,4,1.6,3.7,35.62,4.63,0,,0.0,0,1
ORD-00017,Atlanta DC,Standard,5,2.1,4.9,25.0,3.7,0,,0.0,0,1
ORD-00018,Reno DC,Standard,6,1.7,4.5,11.65,2.22,1,Damaged in transit,103.88,0,1
ORD-00019,Chicago DC,Express,2,1.7,1.1,13.79,2.22,0,,0.0,0,1
ORD-00020,Chicago DC,Standard,4,2.0,2.5,30.93,5.37,0,,0.0,0,1
ORD-00021,Atlanta DC,Express,3,1.6,2.1,21.5,2.49,0,,0.0,0,1
ORD-00022,Newark DC,Standard,5,2.1,4.1,25.8,4.01,0,,0.0,0,1
ORD-00023,Chicago DC,Express,2,1.7,1.0,47.25,4.32,0,,0.0,0,1
ORD-00024,Reno DC,Express,4,1.5,4.6,15.03,2.17,0,,0.0,0,0
ORD-00025,Atlanta DC,Standard,5,2.1,3.5,62.34,8.34,0,,0.0,0,1
