order_id,order_date,region,state,customer_segment,sales_channel,product_category,product_subcategory,product_name,units,unit_price,discount_pct,cogs_per_unit
ORD-00001,2025-10-16,Northeast,Pennsylvania,Enterprise,Distributor,Furniture,Storage,Mobile Pedestal,6,168.42,0.1177,91.55
ORD-00002,2024-12-14,Southeast,Florida,Enterprise,Direct Sales,Industrial,Tools,Diagnostic Meter,15,267.45,0.0892,155.7
ORD-00003,2025-12-22,Northeast,Pennsylvania,SMB,Online,Electronics,Tablets,Orbit Tablet,7,620.82,0.1341,403.61
ORD-00004,2025-10-17,Southwest,Texas,Consumer,Retail,Apparel,Uniforms,Shift Uniform,12,45.64,0.102,21.81
ORD-00005,2025-07-28,Midwest,Michigan,Consumer,Online,Office Supplies,Ink,Black Ink Set,21,38.34,0.1127,20.67
ORD-00006,2025-11-27,Southwest,New Mexico,SMB,Direct Sales,Industrial,Components,Hydraulic Valve,12,319.44,0.0836,195.99
ORD-00007,2025-09-15,Northeast,Massachusetts,Consumer,Retail,Apparel,Branded Gear,Event Tee,12,22.17,0.1034,8.89
ORD-00008,2024-05-08,Northeast,Massachusetts,Enterprise,Direct Sales,Industrial,Maintenance,Seal Pack,10,63.06,0.0877,36.36
ORD-00009,2024-01-22,Midwest,Illinois,Enterprise,Distributor,Office Supplies,Paper,Copy Paper Pack,28,19.49,0.0908,8.2
ORD-00010,2024-04-09,Southwest,Arizona,SMB,Direct Sales,Furniture,Storage,Mobile Pedestal,6,168.79,0.1471,101.39
ORD-00011,2025-03-29,Southwest,New Mexico,Consumer,Online,Electronics,Laptops,Nimbus Laptop,2,1063.93,0.1346,674.01
ORD-00012,2025-07-23,Southwest,Arizona,SMB,Retail,Electronics,Laptops,Apex Workstation,6,1246.59,0.1125,829.37
ORD-00013,2024-05-02,West,Colorado,SMB,Distributor,Electronics,Accessories,Conference Cam,6,228.53,0.1061,157.41
ORD-00014,2024-03-16,Midwest,Michigan,Consumer,Retail,Furniture,Chairs,Summit Chair,2,341.42,0.145,213.19
ORD-00015,2024-05-17,Southeast,Florida,Enterprise,Direct Sales,Apparel,Uniforms,Team Hoodie,29,55.49,0.094,21.47
ORD-00016,2025-03-28,Midwest,Ohio,Enterprise,Online,Office Supplies,Ink,Toner Cartridge,24,89.9,0.0875,38.86
ORD-00017,2024-04-15,Southeast,North Carolina,Enterprise,Distributor,Industrial,Tools,Torque Wrench,9,197.23,0.0993,119.01
ORD-00018,2024-02-09,West,California,Consumer,Online,Electronics,Tablets,Orbit Tablet,1,664.84,0.132,425.93
ORD-00019,2024-07-01,Midwest,Ohio,SMB,Distributor,Electronics,Networking,Smart Switch,2,306.69,0.1173,195.67
ORD-00020,2024-12-04,Midwest,Michigan,SMB,Online,Industrial,Components,Drive Assembly,16,401.27,0.0859,215.73
ORD-00021,2024-11-07,Southeast,Georgia,Consumer,Online,Apparel,Safety Wear,Protective Jacket,8,89.06,0.1438,43.14
ORD-00022,2024-05-30,Northeast,New York,SMB,Direct Sales,Industrial,Components,Bearing Set,9,96.54,0.0815,51.74
ORD-00023,2025-12-13,Midwest,Illinois,Consumer,Online,Office Supplies,Ink,Color Ink Set,26,52.81,0.1068,24.17
ORD-00024,2024-09-10,West,Washington,Consumer,Retail,Apparel,Safety Wear,Protective Jacket,4,92.26,0.122,36.63
ORD-00025,2025-04-22,Southeast,Florida,Enterprise,Distributor,Industrial,Maintenance,Lubricant Kit,28,75.75,0.0893,46.36
ORD-00026,2025-05-12,Northeast,Massachusetts,Consumer,Retail,Apparel,Safety Wear,Safety Vest,19,24.05,0.1118,10.32
ORD-00027,2025-01-23,Southeast,Georgia,Enterprise,Direct Sales,Electronics,Laptops,ThinkCore Laptop,5,1016.29,0.1584,708.04
ORD-00028,2025-01-12,Northeast,Pennsylvania,SMB,Direct Sales,Industrial,Tools,Diagnostic Meter,6,266.28,0.0979,149.28
ORD-00029,2024-11-04,West,Colorado,Consumer,Retail,Apparel,Uniforms,Service Polo,19,31.91,0.1361,13.43
ORD-00030,2025-10-28,Southeast,North Carolina,SMB,Direct Sales,Apparel,Branded Gear,Embroidered Cap,26,19.32,0.1049,7.0
ORD-00031,2024-08-05,Southeast,Georgia,Consumer,Retail,Furniture,Desks,Studio Desk,1,445.72,0.1257,253.6
ORD-00032,2025-11-10,Midwest,Ohio,SMB,Retail,Office Supplies,Writing,Marker Kit,70,23.25,0.0725,9.95
ORD-00033,2025-06-21,Midwest,Illinois,Enterprise,Direct Sales,Industrial,Components,Hydraulic Valve,26,325.17,0.0532,193.93
